norm_composition,raw_composition,starting_material
Li0.43478260869565216O0.391304347826087Zn0.17391304347826086,Li20O18Zn8,N
Li0.3076923076923077Zr0.07692307692307693F0.6153846153846154,Li16Zr4F32,N
Li0.6071428571428571Cl0.17857142857142858O0.21428571428571427,Li17Cl5O6,N
Li0.7777777777777778Sn0.2222222222222222,Li28Sn8,N
Li0.25B0.25Br0.5,Li1B1Br2,N
Li0.8148148148148148Sn0.18518518518518517,Li352Sn80,N
B0.2222222222222222Li0.2222222222222222S0.5555555555555556,B8Li8S20,N
Li0.5Br0.25O0.25,Li2Br1O1,N
Li0.3333333333333333Br0.3333333333333333O0.3333333333333333,Li2Br2O2,N
Li0.1111111111111111Cl0.1111111111111111O0.7777777777777778,Li2Cl2O14,N
Li0.14285714285714285Cl0.2857142857142857O0.5714285714285714,Li2Cl4O8,N
Li0.18181818181818182O0.6363636363636364S0.18181818181818182,Li8O28S8,N
Li0.08695652173913043O0.6956521739130435S0.21739130434782608,Li8O64S20,N
Li0.2222222222222222O0.5555555555555556Si0.2222222222222222,Li4O10Si4,N
Li0.16666666666666666Si0.25O0.5833333333333334,Li8Si12O28,N
Li0.3333333333333333O0.5Si0.16666666666666666,Li4O6Si2,N
Li0.3333333333333333S0.5Si0.16666666666666666,Li8S12Si4,N
Li0.3333333333333333S0.5Sn0.16666666666666666,Li16S24Sn8,N
Li0.25S0.5Sn0.125Zn0.125,Li4S8Sn2Zn2,N
Li0.2857142857142857O0.5714285714285714S0.14285714285714285,Li8O16S4,N
Li0.42857142857142855Zn0.5714285714285714,Li9Zn12,N
Cl0.5714285714285714Li0.2857142857142857Zn0.14285714285714285,Cl32Li16Zn8,N
Li0.5Zr0.25Al0.25,Li2Zr1Al1,N
Al0.25Li0.5Zr0.25,Al1Li2Zr1,N
Li0.2222222222222222Zr0.1111111111111111F0.6666666666666666,Li2Zr1F6,N
B0.3181818181818182Li0.13636363636363635O0.5454545454545454,B14Li6O24,N
B0.14285714285714285Li0.42857142857142855O0.42857142857142855,B4Li12O12,N
Li0.6Br0.2O0.2,Li3Br1O1,N
Li0.6Cl0.2O0.2,Li3Cl1O1,N
Br0.2Li0.6O0.2,Br1Li3O1,N
Cl0.2Li0.6O0.2,Cl1Li3O1,N
Li0.375O0.5P0.125,Li6O8P2,N
Li0.3333333333333333Sn0.4444444444444444Zn0.2222222222222222,Li6Sn8Zn4,N
Li0.75Zr0.25,Li3Zr1,N
Li0.6666666666666666Ca0.3333333333333333,Li4Ca2,N
Li0.16666666666666666Cl0.16666666666666666O0.6666666666666666,Li4Cl4O16,N
Li0.25Cl0.25O0.5,Li4Cl4O8,N
Li0.3076923076923077O0.5384615384615384P0.15384615384615385,Li16O28P8,N
Li0.4444444444444444O0.4444444444444444Si0.1111111111111111,Li56O56Si14,N
Li0.4444444444444444S0.4444444444444444Sn0.1111111111111111,Li16S16Sn4,N
B0.4444444444444444Li0.5555555555555556,B12Li15,N
B0.45454545454545453Li0.5454545454545454,B5Li6,N
Li0.5Br0.3O0.2,Li5Br3O2,N
Cl0.3333333333333333Li0.5555555555555556O0.1111111111111111,Cl6Li10O2,N
Li0.7142857142857143Sn0.2857142857142857,Li15Sn6,N
Li0.4O0.4666666666666667Si0.13333333333333333,Li12O14Si4,N
Li0.5454545454545454O0.36363636363636365Zn0.09090909090909091,Li12O8Zn2,N
Li0.11538461538461539Zr0.15384615384615385F0.7307692307692307,Li6Zr8F38,N
Li0.5833333333333334Br0.25O0.16666666666666666,Li7Br3O2,N
Br0.25Li0.5833333333333334O0.16666666666666666,Br3Li7O2,N
Li0.16666666666666666B0.2916666666666667Cl0.041666666666666664O0.5,Li8B14Cl2O24,N
B0.4666666666666667Li0.5333333333333333,B7Li8,N
Li0.2Br0.2O0.6,Li8Br8O24,N
Li0.5333333333333333O0.4Si0.06666666666666667,Li16O12Si2,N
B0.5Li0.5,B2Li2,N
